metric,territory,gender,age,count
Eligible participants,Victoria,Female,35-39 years,172864
Participation rate (%),Victoria,Female,35-39 years,79.7
Total participants,Queensland,Female,35-39 years,97518
Eligible participants,Queensland,Female,35-39 years,130523
Participation rate (%),Queensland,Female,35-39 years,74.7
Total participants,South Australia,Female,35-39 years,33474
Eligible participants,South Australia,Female,35-39 years,44301
Participation rate (%),South Australia,Female,35-39 years,75.6
Total participants,Western Australia,Female,35-39 years,51016
Eligible participants,Western Australia,Female,35-39 years,67433
Participation rate (%),Western Australia,Female,35-39 years,75.7
Total participants,Tasmania,Female,35-39 years,10414
Eligible participants,Tasmania,Female,35-39 years,13788
Participation rate (%),Tasmania,Female,35-39 years,75.5
Total participants,Northern Territory,Female,35-39 years,4232
Eligible participants,Northern Territory,Female,35-39 years,7332
Participation rate (%),Northern Territory,Female,35-39 years,57.7
Total participants,Australian Capital Territory,Female,35-39 years,11464
Eligible participants,Australian Capital Territory,Female,35-39 years,14090
Participation rate (%),Australian Capital Territory,Female,35-39 years,81.4
Total participants,Australia,Female,35-39 years,508678
Eligible participants,Australia,Female,35-39 years,666534
Participation rate (%),Australia,Female,35-39 years,76.3
Total participants,New South Wales,Female,40-44 years,171415
Eligible participants,New South Wales,Female,40-44 years,220718
Participation rate (%),New South Wales,Female,40-44 years,77.7
Total participants,Victoria,Female,40-44 years,141735
Eligible participants,Victoria,Female,40-44 years,173926
Participation rate (%),Victoria,Female,40-44 years,81.5
Total participants,Queensland,Female,40-44 years,104443
Eligible participants,Queensland,Female,40-44 years,136320
Participation rate (%),Queensland,Female,40-44 years,76.6
Total participants,South Australia,Female,40-44 years,35745
Eligible participants,South Australia,Female,40-44 years,46052
Participation rate (%),South Australia,Female,40-44 years,77.6
Total participants,Western Australia,Female,40-44 years,52052
Eligible participants,Western Australia,Female,40-44 years,67422
Participation rate (%),Western Australia,Female,40-44 years,77.2
Total participants,Tasmania,Female,40-44 years,11181
Eligible participants,Tasmania,Female,40-44 years,14524
Participation rate (%),Tasmania,Female,40-44 years,77
Total participants,Northern Territory,Female,40-44 years,3895
Eligible participants,Northern Territory,Female,40-44 years,6795
Participation rate (%),Northern Territory,Female,40-44 years,57.3
Total participants,Australian Capital Territory,Female,40-44 years,10865
Eligible participants,Australian Capital Territory,Female,40-44 years,13125
Participation rate (%),Australian Capital Territory,Female,40-44 years,82.8
Total participants,Australia,Female,40-44 years,531331
Eligible participants,Australia,Female,40-44 years,678882
Participation rate (%),Australia,Female,40-44 years,78.3
Total participants,New South Wales,Female,45-49 years,187089
Eligible participants,New South Wales,Female,45-49 years,232767
Participation rate (%),New South Wales,Female,45-49 years,80.4
Total participants,Victoria,Female,45-49 years,156738
Eligible participants,Victoria,Female,45-49 years,188193
Participation rate (%),Victoria,Female,45-49 years,83.3
Total participants,Queensland,Female,45-49 years,115509
Eligible participants,Queensland,Female,45-49 years,145442
Participation rate (%),Queensland,Female,45-49 years,79.4
Total participants,South Australia,Female,45-49 years,41556
Eligible participants,South Australia,Female,45-49 years,51879
Participation rate (%),South Australia,Female,45-49 years,80.1
Total participants,Western Australia,Female,45-49 years,58598
Eligible participants,Western Australia,Female,45-49 years,73013
Participation rate (%),Western Australia,Female,45-49 years,80.3
Total participants,Tasmania,Female,45-49 years,13533
Eligible participants,Tasmania,Female,45-49 years,16858
Participation rate (%),Tasmania,Female,45-49 years,80.3
Total participants,Northern Territory,Female,45-49 years,4200
Eligible participants,Northern Territory,Female,45-49 years,6983
Participation rate (%),Northern Territory,Female,45-49 years,60.1
Total participants,Australian Capital Territory,Female,45-49 years,11031
Eligible participants,Australian Capital Territory,Female,45-49 years,13104
Participation rate (%),Australian Capital Territory,Female,45-49 years,84.2
Total participants,Australia,Female,45-49 years,588254
Eligible participants,Australia,Female,45-49 years,728239
Participation rate (%),Australia,Female,45-49 years,80.8
Total participants,New South Wales,Female,50-54 years,181995
Eligible participants,New South Wales,Female,50-54 years,220482
Participation rate (%),New South Wales,Female,50-54 years,82.5
Total participants,Victoria,Female,50-54 years,148344
Eligible participants,Victoria,Female,50-54 years,174218
Participation rate (%),Victoria,Female,50-54 years,85.1
Total participants,Queensland,Female,50-54 years,112055
Eligible participants,Queensland,Female,50-54 years,136567
Participation rate (%),Queensland,Female,50-54 years,82.1
Total participants,South Australia,Female,50-54 years,42601
Eligible participants,South Australia,Female,50-54 years,51338
Participation rate (%),South Australia,Female,50-54 years,83
Total participants,Western Australia,Female,50-54 years,57094
Eligible participants,Western Australia,Female,50-54 years,69184
